"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"VENDOR";
"R_RLF";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_RLH";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_RRD";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_RRF";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_RRH";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM1";"75k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM2";"25k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM4";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM5";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM6";"3.3k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"R_VM7";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";
"S1";"RESET";"SWITCH-MOMENTARY-2SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"SWCH-13065";"";"";"";
"S2";"";"SWITCH-SPSTPTH";"SWITCH-SPDT";"SPST Switch";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"TP5";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"TP6";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"TPS73633(SOT-23)";"TPS73633(SOT-23)";"TPS73633(SOT-23)";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"TPS76850(SOIC-8)";"TPS76850(SOIC-8)";"TPS76850(SOIC-8)";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"MY_MM_MOTOR_MOUNT";"MY_MM_MOTOR_MOUNT";"MY_MM_MOTOR_MOUNT";"";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$17";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$18";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$19";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$20";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$21";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"SN74HC151DR";"SN74HC151DR";"SOIC127P600X175-16N";"8-Line to 1-Line Dataselectors /MultiPlexers";"Unavailable";" 8-Line To 1-Line Data Selectors/Multiplexers 16-SOIC -40 to 85 ";"";"Texas Instruments";"SN74HC151DR";"SOIC-16 Texas Instruments";"None";"";"";"";"";
"U2";"DRV8848PWPR";"DRV8848PWPR";"SOP65P640X120-17N";"None";"Unavailable";" 2A Dual H-Bridge Motor Driver _PWM Control_ 16-HTSSOP -40 to 85 ";"";"Texas Instruments";"DRV8848PWPR";"HTSSOP-16 Texas Instruments";"None";"";"";"";"";
"U3";"ACS712ELCTR-20A-T";"ACS712ELCTR-20A-T";"SOIC127P600X175-8N";"Linear Current Sensor";"Unavailable";" Fully Integrated, Hall Effect-Based Linear Current Sensor IC with 2.1 kVRMS Voltage Isolation and a Low-Resistance Cu... ";"";"Allegro";"ACS712ELCTR-20A-T";"SOIC-8 Allegro MicroSystems LLC";"None";"";"";"";"";
"U6";"MPU-6000";"MPU-6000";"QFN-24-EP";"Invensense MPU-6000 6-Axis Gryoscope/Accelerometer";"";"";"";"";"";"";"";"IC-11089";"SEN-11234 ";"";"";
"X1";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+_PIN";"2x20 header connector, all pins connected";"";"";"";"";"";"";"";"";"";"";"";
